full_name,mobile_number,email,date_of_birth,address,sex,property_no,street_1,street_2,property_type_name,property_sub_type_name,ward_no,pincode
Hamsini Cheema,1339748101,tandonpushti@example.com,1971-02-23,"H.No. 19, Choudhry Street, Sultan Pur Majra 071225",male,16824,Manda Zila,Kakar Zila,commercial,school,28,734065
Ati Malhotra,9655056965,omani@example.org,2012-09-06,"H.No. 963, Dar Marg, Bhiwani-407219",male,69015,Sabharwal Nagar,Murthy Circle,commercial,hotel,30,806663
Prisha Hegde,8865542728,lekhapau@example.com,1947-07-09,"270, Naik Road, Kalyan-Dombivli-541929",male,21877,Sama Nagar,Kibe,residential,rent house,18,841266
Ubika Basu,3238980481,pahal88@example.org,2020-04-04,"39/30, Kota Path, Jamshedpur 440761",male,94223,Kant Zila,Balay Circle,industrial,,4,708722
Aradhana Bal,4867616999,goak@example.net,2020-05-03,"69, Dutta Ganj, Barasat 214474",male,62956,Dewan Circle,Dugar Road,commercial,wedding hall,13,403006
Harinakshi Sundaram,8576174805,cpant@example.com,1927-10-29,"587, Bhagat Marg, Bareilly 771105",male,84424,Magar Marg,Krishna Chowk,commercial,wedding hall,5,550171
Ekaraj Bora,8936495532,handafalak@example.org,1942-11-13,"21/006, Karnik Road, Gopalpur-391698",male,16817,Agarwal Chowk,Mohan Nagar,commercial,hotel,37,296099
Aarush Bala,3046752043,mahalarjun@example.org,1916-10-16,"05/84, Dugar Zila, Guntakal-126313",female,20722,Khanna Ganj,Guha Road,residential,house,13,325712
Vrinda Parikh,3526937964,gargpratyush@example.com,2014-12-23,"13/81, Nayar Nagar, Tiruvottiyur-651524",male,19468,Sethi Road,Choudhury Zila,residential,house,32,521970
Mitesh Din,9785449074,sarafgayathri@example.org,1923-04-09,"H.No. 899, Parikh Street, Thrissur 453982",female,52527,Basu,Tank,residential,house,41,416600
Edhitha Konda,2861739267,victor78@example.org,1922-08-17,"31/56, Krishna, Kadapa 165639",female,76717,Goswami Chowk,Bhattacharyya Nagar,industrial,,4,404383
Yuvraj Brahmbhatt,7550689825,samarthmittal@example.com,2018-08-05,"H.No. 402, Sandal Path, Tenali 385384",female,97500,Gole Path,Setty Nagar,industrial,,39,968809
Jacob Seshadri,5975573616,dhritiiyengar@example.net,1987-05-04,"H.No. 642, Mistry Zila, Jammu-317484",female,78012,Rana,Talwar Path,industrial,,31,905615
Manbir Ranganathan,5825586077,rmane@example.org,1999-10-09,"05/835, Sen Path, Satara-485978",male,17544,Bhatia Ganj,Khurana Chowk,residential,rent house,35,118741
Oni Kakar,8533503624,rohan33@example.com,1955-08-20,"H.No. 188, Kothari Circle, Chittoor-132184",female,12809,Prakash Path,Anand Ganj,industrial,,20,268856
Nidhi Koshy,5080710347,rehaan73@example.net,1909-03-12,"67, Dhar Zila, Chandigarh 486917",female,63178,Sha Marg,Bahl Ganj,commercial,hotel,9,975670
Isaac Bava,4368400227,ramjonathan@example.com,1994-09-21,"28/030, Taneja, Aizawl 750270",female,84382,Bhalla Zila,Pandit Ganj,commercial,restaurant,10,640455
Ati Chawla,4863194443,guneet29@example.net,1931-04-23,"H.No. 850, Batra Circle, Jalna 087154",female,41889,Borra Path,Bhakta Marg,residential,rent house,30,093767
Wazir Bhatt,1492529179,qvig@example.org,1950-06-03,"20, Dutta Circle, Jabalpur-633170",female,31291,Salvi Circle,Kuruvilla Circle,commercial,hotel,34,989465
Brinda Zachariah,0769207902,maya97@example.com,1943-06-08,"99, Savant Zila, Anantapuram 764433",male,45156,Lanka Marg,Maharaj Nagar,industrial,,43,003143
Unnati Pradhan,2655882613,hardikgoswami@example.org,1912-08-18,"36/32, Das Road, Jamnagar 635632",female,15093,Tailor Circle,Buch Zila,residential,rent house,22,184160
Dalbir Kala,8161176996,hiral11@example.org,1989-08-22,"54/250, Choudhury Marg, Mira-Bhayandar 186205",male,39874,Mittal,Sankaran Circle,residential,rent house,36,670668
Siya Ramakrishnan,8278791870,amaralad@example.com,1925-12-20,"H.No. 937, Shah Street, Nizamabad-776222",male,25054,Dora Ganj,Warrior Zila,commercial,hotel,9,728788
Samuel Parikh,9108728609,psubramaniam@example.net,1952-12-13,"068, Kakar Path, Dindigul 436270",male,25056,Mukherjee Ganj,Parmar,commercial,restaurant,5,062002
Eta Som,9085562681,bhattdipta@example.org,1935-12-03,"581, Dua, Panipat-851564",male,81276,Dixit Path,Mall Road,commercial,wedding hall,35,991165
Ishanvi Memon,8795735220,qdhawan@example.net,1932-01-24,"167, Ganesh Path, Bidar-178672",female,31980,Chahal Circle,Wali Chowk,residential,house,21,974659
Tanvi Rastogi,2065851849,meghanasheth@example.com,1964-06-19,"87/49, Karpe Marg, Durgapur-882440",male,40843,Handa Marg,Doshi Zila,residential,rent house,4,795176
Daksha Atwal,9860537154,chadharudra@example.net,1909-02-11,"47/98, Ravi Nagar, Shimoga 151204",male,46946,Banerjee Chowk,Vig Marg,industrial,,27,784322
Harini Rajagopal,0954502865,jai20@example.org,2023-03-16,"87/508, Karnik Chowk, Bihar Sharif-536616",male,50848,Kata Marg,Mody,residential,house,35,144896
Yutika Narang,0901815914,bnayak@example.net,1974-10-05,"H.No. 05, Bir Road, Dharmavaram-429016",female,71740,Lanka Circle,Mishra Street,commercial,school,31,204412
Quincy Dixit,6181959683,girik69@example.org,1963-11-20,"H.No. 44, Krishna, Shahjahanpur 345471",female,55805,Varghese Road,Merchant Zila,commercial,hotel,43,502664
Isaac Dutt,1733622658,riyachadha@example.org,1977-11-08,"H.No. 48, Sangha Marg, Giridih-902726",female,22540,Chauhan Marg,Chaudhary Road,commercial,hotel,13,241159
Zashil Vora,8087436810,shankerqabil@example.net,1916-04-20,"H.No. 16, Sharaf Path, Karimnagar-566830",female,86579,Nayar,Ganesh Chowk,residential,house,16,816589
Harish Arora,0276256631,vanshasarkar@example.org,2013-06-12,"H.No. 366, Narasimhan, Bhiwandi 052780",male,53381,Walla Road,Mohanty Chowk,residential,rent house,34,690683
Kashvi Bhagat,5459679621,ganeshvarenya@example.com,1974-08-17,"349, Sur Path, Anantapur 604866",female,64013,Kadakia Circle,Bath Path,commercial,hotel,19,672552
Sara Nayak,5692045133,quincymukhopadhyay@example.net,1979-06-01,"H.No. 256, Mitra Circle, Bhatpara 667787",male,23390,Sane,Choudhury Nagar,commercial,restaurant,35,586140
Warda Kalla,1912123677,pbarman@example.org,1940-01-09,"H.No. 058, Narasimhan Nagar, Pune-769963",female,56347,Krish Chowk,Chaudhary Street,residential,house,11,479558
Harinakshi Mangal,3433746423,petersur@example.com,1987-06-23,"11/22, Deep Marg, Muzaffarpur 305833",male,61735,Mutti Zila,Pall Marg,industrial,,33,991412
Inaya Sawhney,4043282224,chakrikashenoy@example.net,1962-03-25,"H.No. 91, Hayer Path, Proddatur 887693",female,14029,Pingle Road,Hari Street,residential,rent house,4,510396
Jairaj Pall,8170314484,gaurangisaran@example.net,2014-07-09,"80/071, Brahmbhatt Circle, Jodhpur-408593",female,36712,Sankar Marg,Raman,residential,house,20,899133
Kavya Kapoor,1572541426,sprabhakar@example.org,1997-07-11,"21/852, Bhagat Nagar, Purnia 986226",male,60782,Wable,Bobal Chowk,commercial,hotel,32,001272
Vidhi Lanka,7448391623,finn78@example.com,1935-10-08,"H.No. 97, Kurian Path, Baranagar 303562",female,32994,Palan Road,Mahajan Road,residential,house,32,642299
Max Solanki,8331997605,chawlanilima@example.org,1951-09-24,"81/69, Kala Ganj, Kalyan-Dombivli 773447",male,89430,Rama Chowk,Raju Path,industrial,,16,858223
Amruta Edwin,5755486581,ganesantriveni@example.org,1946-06-23,"H.No. 97, Rastogi Street, Etawah 486220",male,20091,Chopra Circle,Jhaveri Street,industrial,,6,393724
Vedhika Aggarwal,1079941389,qtella@example.com,1995-10-28,"H.No. 540, Bakshi Nagar, Bangalore-912614",female,17039,Rama Chowk,Goyal Path,residential,rent house,43,622339
Aayush Dugar,7646583222,cheemaaadhya@example.net,1938-04-04,"61/26, Kannan Zila, Rajahmundry-447350",female,79596,Ramaswamy Circle,Dave Street,residential,house,30,180621
Teerth Rai,0702756239,ekansh32@example.com,1939-09-14,"12, Keer Ganj, Korba 442963",female,32402,Rege Circle,Mishra Nagar,residential,rent house,35,599136
Waida Srivastava,2317535297,nborra@example.org,1964-06-04,"13/18, Gala Marg, Allahabad 333826",female,18898,Amble,Mane Road,residential,house,25,734379
Lakshmi Peri,0857311322,krish95@example.org,1923-07-12,"08/207, Oak, Gudivada-790177",female,96232,Bath Road,Kata Zila,residential,house,25,612839
Dev Kumer,1072576236,yashasvi92@example.org,1969-11-08,"H.No. 738, Kadakia Chowk, Ballia 435635",male,33722,Ranganathan Marg,Deo Circle,residential,house,19,768209
Anita Anand,4082380551,sthakkar@example.org,1963-11-21,"20/36, Cheema Ganj, Vadodara 738587",female,33659,Mane Nagar,Borah,residential,rent house,31,999553
Rishi Hayre,4564916361,hritiksuresh@example.org,1966-04-18,"H.No. 20, Mital Path, Hospet-742620",female,74836,Oommen Ganj,Mohan Marg,residential,rent house,16,622169
Zilmil Bumb,0993097643,patlachakradev@example.org,1941-06-27,"H.No. 56, Kade Ganj, Ongole-972452",male,18237,Sankaran Circle,Dugar Ganj,industrial,,18,080591
Wyatt Memon,4233040399,farasbhasin@example.net,1979-04-17,"261, Cheema Marg, Durg 486205",female,69740,Natarajan Ganj,Parikh Nagar,residential,rent house,34,476810
